title,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
How to use Azure SQL Databases | Azure Fundamentals,Tuesday,Morning,826,39289,692,122.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'azure', 'azure sql databases', 'sql databases in azure']",0
Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,Thursday,Morning,367,56139,1601,172.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Blob Storage and Storage Accounts in Azure | Azure Fundamentals,Tuesday,Morning,941,13127,246,40.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'azure storage accounts', 'azure storage', 'azure', 'azure storing data']",0
Azure Account Setup + $200 Free Credits | Azure Fundamentals,Tuesday,Morning,397,22916,488,68.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'azure', 'azure setup', 'azure ui', 'azure walkthrough']",0
Building a Fully Interactive Web App using Shiny for Python,Tuesday,Morning,3592,14846,373,44.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'shiny project', 'shiny full project', 'shiny tutorial']",0
Shiny for Python Components and Layouts | Customizing You Web App,Tuesday,Morning,1448,6031,170,18.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'shiny', 'shiny components', 'shiny layouts', 'shiny tutorials']",0
Shiny for Python Setup and Install | Deploying First Shiny App,Tuesday,Morning,864,13702,333,39.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'shiny', 'shiny for python', 'python shiny', 'shiny for python setup', 'shiny setup']",0
Is the Economy on the Brink of a Recession? | Let's Look at the Data!,Tuesday,Morning,1279,13744,812,38.0,3.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'economy', 'economic data', 'how is the economy doing', 'economy data', 'data about economy', 'will economy get better', 'will economy get worse']",0
5 Awesome Excel Functions You've Probably Never Heard Of,Tuesday,Morning,844,6413,237,17.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to Create Custom Functions in Excel | Lambda Functions,Tuesday,Morning,994,7387,239,20.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
