video_id,title,published_at,views,likes,comments,tags,duration,duration_seconds,playlist_title
B2SPC3Wz1R8,Best Online Courses for Data Analysts,2020-06-17T14:57:22Z,189091,9593,426,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data Analyst Courses', 'Courses for data analysts', 'Best data analyst courses', 'best courses for data analysts', 'Data Science Courses', 'Courses for Data Scientists', 'Python courses for data analysts', 'SQL courses for data analysts', 'udemy courses for data analysts', 'Coursera courses for data analysts', 'best online courses for data analysts']",PT8M45S,525,
fUpChfNN5Uo,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10T15:49:15Z,797447,24402,862,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Scientist', 'Data scientist vs data analyst', 'data analyst vs data scientist', 'data scientist job', 'data scientist salary', 'Data scientist job description', 'Data Analyst Job Description', 'Data Analyst Salary', 'Data Analyst skills', 'data scientist career', 'Data scientist or data analyst', 'data analyst or data scientist', 'data analyst for freshers', 'data scientist for freshers']",PT7M47S,467,
Dk7he_yEs4U,Intermediate SQL Tutorial | Aliasing,2020-06-04T14:00:10Z,156683,4108,105,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data analyst with no degree', 'SQL aliasing', 'Aliasing in SQL', 'Data analyst SQL']",PT6M12S,372,Intermediate SQL Tutorials
LJtFgnHGAos,Data Analyst Q&A LIVE,2020-05-31T13:54:38Z,12298,271,54,"['Data Analyst', 'Data Analyst Q&A', 'Data Analyst questions', 'Data Analyst Questions and Answers', 'Data Analyst live', 'Data Analyst live interview', 'Data Analyst Interview', 'Data Analyst Covid', 'Data Analyst Internship', 'Data Analyst coronavirus', 'Data Analyst Job', 'Data analyst career', 'Data Analyst for beginners']",PT51M45S,3105,Data Analyst Q&A
ziurEoqEcO4,Data Analyst Interviews | Salary Negotiation,2020-05-27T15:13:50Z,27888,859,27,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'Data Analyst Salary', 'Data Analyst Salary Negotation', 'Salary Negotiation', 'How to negotiate salary']",PT5M37S,337,Data Analyst Interview Questions
rLKC--8UYSw,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20T14:03:02Z,79298,1886,36,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'Data Analyst Interview', 'data analyst interview questions and answers', 'Data Analyst Interview Questions', 'Data Analyst interview Questions for freshies', 'Data Analyst Interview Questions for Beginners', 'Data Analyst Interview Questions for beginners', 'Data Analyst Phone interview', 'Data Analyst In person interview']",PT7M49S,469,Data Analyst Interview Questions
sua7xKN0cPc,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13T15:00:26Z,135925,3454,112,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'SQL interview questions', 'SQL for data analysts', 'SQL technical questions', 'SQL technical interview questions', 'SQL interview questions and answers', 'SQL', 'SQL questions and answers', 'SQL Interview Questions', 'SQL questions for data analyst', 'SQL questions for data analysts', 'sql questions and answers for data analysts', 'SQL Interview', 'SQL Interview data analyst']",PT8M2S,482,Data Analyst Interview Questions
fweZQqB0nwQ,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06T15:20:18Z,87010,1704,60,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'Data Analyst Interview', 'data analyst interview questions and answers', 'Data Analyst Interview Questions', 'Data Analyst Interview Questions for Beginners', 'Data Analyst Interview Questions for beginners', 'Data Analyst Phone interview', 'Data Analyst In person interview', 'data analyst interview questions for freshers']",PT7M44S,464,Data Analyst Interview Questions
oXAwKZWfbW0,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23T13:08:33Z,15524,521,52,"['Day in the life', 'A Day in the Life', 'Day in the life of a data analyst', 'A Day in the life of a data analyst', 'What do data analysts do', 'Data analyst', 'Fortune 500 Data Analyst', 'What do data analysts do on a daily basis', 'life of a data analyst', 'data analyst day in the life', 'data scientist day in the life', 'Quarantine Edition', 'Data Analyst Quarantine', 'Quarantine', 'Working from Home', 'data analyst quarantine', 'Working from home data analyst', 'Data Analyst work life balance']",PT6M55S,415,
bhnrIforc7s,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16T12:58:52Z,160120,3541,142,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'SQL Update', 'SQL Delete', 'SQL Update and Delete', 'Delete SQL', 'Update SQL', 'Update and Delete in SQL', 'SQL updating', 'SQL Delete data', 'Intermediate SQL tutorial', 'Intermediate SQL']",PT4M37S,277,Intermediate SQL Tutorials
