title,published_weekday,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
Free Data Analyst Bootcamp 2024,Thursday,Thursday,Morning,31,12414,1030,51.0,5.0,[],0
"Learn Python in Under 3 Hours | Variables, For Loops, Web Scraping + Full Project",Tuesday,Tuesday,Morning,9121,46098,1292,188.0,6.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Learn SQL Beginner to Advanced in Under 4 Hours,Tuesday,Tuesday,Morning,14698,675931,15025,2672.0,60.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
AWS Quicksight | AWS Essentials,Tuesday,Tuesday,Morning,730,20989,307,81.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
AWS Glue DataBrew and Glue | AWS Essentials,Tuesday,Tuesday,Morning,2732,9218,159,35.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'aws glue', 'aws glue databrew', 'glue', 'glue aws', 'glue tutorial']",0
Amazon Athena in AWS | AWS Fundamentals,Tuesday,Tuesday,Morning,1473,14266,258,53.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'aws athena', 'athena', 'athena tutorial']",0
Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,Tuesday,Tuesday,Evening,4516,5969,198,22.0,1.0,[],0
Landing a Data Job Course on Analyst Builder,Tuesday,Tuesday,Morning,500,23899,822,83.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
S3 Storage in AWS | AWS Essentials,Tuesday,Tuesday,Morning,878,10416,198,36.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 's3', 's3 buckets', 's3 tutorial', 'tutorial for s3', 's3 bucket tutorial']",0
Window Functions in MySQL | Intermediate MySQL,Tuesday,Tuesday,Morning,809,155197,4172,326.0,9.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
AWS Setup and UI Walkthough | AWS,Tuesday,Tuesday,Morning,441,12128,286,41.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'aws setup', 'aws account', 'how to setup aws', 'aws ui', 'aws ui walkthrough']",0
Getting Started in Azure Synapse Analytics | Azure Fundamentals,Tuesday,Tuesday,Morning,1177,26672,379,87.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'azure', 'azure synapse', 'azure synapse analytics', 'synapse analytics tutorials', 'azure synapse tutorial']",0
August Q/A Livestream! Come Ask Me Anything!,Friday,Friday,Morning,5904,5326,223,18.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
Getting Started in Azure Data Factory | Azure Fundamentals,Tuesday,Tuesday,Morning,1471,34024,538,108.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'azure', 'azure data factory', 'azure data factory tutorial']",0
How to use Azure SQL Databases | Azure Fundamentals,Tuesday,Tuesday,Morning,826,39289,692,122.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'azure', 'azure sql databases', 'sql databases in azure']",0
Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,Thursday,Thursday,Morning,367,56139,1601,172.0,5.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Blob Storage and Storage Accounts in Azure | Azure Fundamentals,Tuesday,Tuesday,Morning,941,13127,246,40.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'azure storage accounts', 'azure storage', 'azure', 'azure storing data']",0
Azure Account Setup + $200 Free Credits | Azure Fundamentals,Tuesday,Tuesday,Morning,397,22916,488,68.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'azure', 'azure setup', 'azure ui', 'azure walkthrough']",0
Building a Fully Interactive Web App using Shiny for Python,Tuesday,Tuesday,Morning,3592,14846,373,44.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'shiny project', 'shiny full project', 'shiny tutorial']",0
